FDHI ID,Earthquake,Date,Magnitude,Cumulative displacement,Style,Hypocenter lat,Hypocenter lon,Feature,Breached or unbreached,Type (releasing or restraining),Type (single or double),Distance splay or double bend (m),Length (m) or angle (deg),Spacing double bend (m),Type (length or angle),Location along rupture,Total rupture length,Normalized location,Distance to epicenter,Distance to max slip,Slip at gate (m),Normalized slip at gate,x1check,y1check,UTM zone,latcheck,loncheck
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,39.5439085815008,0,angle,32459.9997241996,199115.277475184,0.16302114099831,129375.166619741,103637.386682228,5.3808704,0.3363044,649349.204611672,2900108.26505422,41N,26.2127737070506,64.4949323133213
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,13.4432426557973,0,angle,33189.9997217758,199115.277475184,0.166687358914046,128676.321413283,102929.965327731,5.059281,0.3162050625,650023.24043798,2900393.138435,41N,26.2152748173202,64.5017103344847
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,22.7036661440742,0,angle,34179.9997186346,199115.277475184,0.171659353074475,127672.043724187,101924.41335973,4.859078,0.303692375,650823.20955949,2901002.44787361,41N,26.2206908661668,64.5097866883426
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,releasing,double,593.648248657887,12.0726958828108,124.163062642072,angle,35079.9997115516,199115.277475184,0.176179347744543,126803.054272236,101045.82899721,5.3168832,0.3323052,651643.664505059,2901378.46116333,41N,26.2239984356497,64.5180414583399
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,15.2192096834636,0,angle,39909.9996872141,199115.277475184,0.200436652542586,121992.856299057,96215.4714699182,4.728887,0.2955554375,655674.302536561,2904065.3694063,41N,26.2478193319371,64.5587021685176
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,29.3297006204061,0,angle,45139.9996464172,199115.277475184,0.226702843793807,116891.177414314,91068.9481280658,5.31417483333333,0.332135927083333,660281.387120338,2906538.04058183,41N,26.2696297737296,64.6051235649123
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,22.5736155304103,0,angle,47359.9996370989,199115.277475184,0.237852164020922,114814.203595739,88952.944883243,4.1012672,0.2563292,662476.060184368,2907189.17672224,41N,26.2752594781051,64.6271768439397
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,5.07855497720103,0,angle,51289.9996126148,199115.277475184,0.257589474112588,110942.792314985,85057.6837743038,4.4062584,0.27539115,665795.991590915,2909284.24784899,41N,26.2937882812101,64.6606837567533
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,releasing,double,2095.48123083393,19.1621550660019,687.826619826744,angle,54999.9995918674,199115.277475184,0.276221896628309,107346.031912809,81424.776272113,5.5656273,0.34785170625,669095.358402298,2911000.30862669,41N,26.3088903712342,64.6939453428369
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,6.54726887752132,0,angle,68479.9995181963,199115.277475184,0.343921372516135,94078.0716000544,68067.8556653706,6.2162725,0.38851703125,680460.856852693,2918275.44773547,41N,26.3731582391991,64.8087782395973
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,3.98444560916718,0,angle,77749.9994641145,199115.277475184,0.390477317712623,84964.0392194304,58895.4178265813,7.84899,0.490561875,688150.722883144,2923448.62181991,41N,26.4188490247673,64.8865807613928
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,18.6057787094633,0,angle,87319.9994034348,199115.277475184,0.438539927777855,75479.2887310605,49366.7193415813,4.01046533333333,0.250654083333333,695782.466420616,2929244.00944621,41N,26.4701166829817,64.9639556316669
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,8.42707538986288,0,angle,91839.9993776828,199115.277475184,0.461240345503519,71304.6099078808,45132.6979207659,6.22,0.38875,700150.741009048,2930864.56295301,41N,26.4841308477668,65.0080078096289
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,5.2670359602971,0,angle,94129.9993502876,199115.277475184,0.472741220783619,69007.1388156532,42830.3320487196,8.29470925,0.518419328125,701879.577644571,2932397.29847346,41N,26.4977166355291,65.0255861373578
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,releasing,double,4563.8699214667,6.29069220651275,500.07618436844,angle,96699.9993191028,199115.277475184,0.485648316619776,66480.2780652408,40294.2264701287,8.27691275,0.517307046875,703929.075020747,2933951.42347892,41N,26.5114468871864,65.046388103399
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.47438300705386,0,angle,110389.999152675,199115.277475184,0.554402457473074,52940.0095984645,26736.6076136066,6.05110066666667,0.378193791666667,714285.554139133,2942891.20205244,41N,26.5905802435381,65.1517617563418
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,18.8476029699387,0,angle,110699.999149726,199115.277475184,0.55595934452354,52608.3992719883,26404.5168299249,6.13063535714286,0.383164709821429,714325.144116576,2943291.33609005,41N,26.5941845322117,65.1522266320484
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,releasing,double,1725.78188510678,7.08739345985824,212.932379807471,angle,116069.999051437,199115.277475184,0.582928645773565,47270.4853920591,21068.9467494791,5.08105872727273,0.317566170454545,718095.26323538,2947096.33771809,41N,26.6279377123267,65.1907180102288
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.86698589381851,0,angle,126519.998961826,199115.277475184,0.635410806072347,36837.4630086766,10656.3713869313,9.87373477777778,0.617108423611111,725144.335898579,2954808.37285293,41N,26.6964073687427,65.2628534152949
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,5.92228724862399,0,angle,129719.99892754,199115.277475184,0.65148189818688,33629.7938406187,7462.5371757313,8.93812086666666,0.558632554166666,727224.20289319,2957251.88765313,41N,26.7181175351529,65.2841841796812
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,2.89164460704554,0,angle,136909.998861445,199115.277475184,0.687591633336663,26457.1626972174,265.75620383801,10.0874247142857,0.630464044642857,731271.462945985,2963209.23003215,41N,26.7712007954418,65.325936682256
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,502.488084611387,14.2094371563712,123.344272493826,angle,156239.998571521,199115.277475184,0.784671073725085,9480.58875396122,19036.5174701736,6.219257,0.3887035625,739189.480768379,2980812.58443085,41N,26.9286677153236,65.4088752374624
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,restraining,double,902.430215078201,23.2343464251955,356.002242202381,angle,161679.998548439,199115.277475184,0.811991930496593,7516.40731370571,24475.74916155,2.59883325,0.162427078125,741174.321674828,2985882.40921487,41N,26.9740575898594,65.4298313934851
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,2.12365196483511,0,angle,191729.998156689,199115.277475184,0.962909529534141,29700.8344187573,54319.7438134093,1.9681865,0.12301165625,754875.216405366,3012427.07627219,41N,27.2110272095225,65.5732280451201
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,10.8221063999254,0,angle,23119.9998204239,199115.277475184,0.116113640869699,138460.487495543,112808.584761433,6.8473603,0.42796001875,640944.977934531,2896012.04057244,41N,26.17664752752,64.4103844791331
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,1.72552201655594,0,angle,24609.9998056669,199115.277475184,0.123596743141591,137030.922171776,111361.336040389,7.70297908333333,0.481436192708333,642333.230394875,2896572.49158838,41N,26.1815698474848,64.42433430116
4,Balochistan,'2013-09-24',7.7,450,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,17.9545874316728,0,angle,112489.999123911,199115.277475184,0.564949111641774,50880.9383059491,24682.8826830455,5.365489,0.3353430625,716014.880061801,2944132.02873778,41N,26.6015122667501,65.16932811759
