FDHI ID,Earthquake,Date,Magnitude,Style,Hypocenter lat,Hypocenter lon,Feature,Breached or unbreached,Type (releasing or restraining),Type (single or double),Distance splay or double bend (m),Length (m) or angle (deg),Spacing double bend (m),Type (length or angle),Location along rupture,Total rupture length,Normalized location,Distance to epicenter,Slip at gate (m),Normalized slip at gate,UTM zone,Cumulative displacement
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,28.5597807988917,0,angle,919.999996877458,199115.277475184,0.00462043901675058,159516.764576228,3.0734347,0.19208966875,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.66486037850475,0,angle,3529.99998956566,199115.277475184,0.017728423626387,156972.220663703,4.169091625,0.2605682265625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.75770602013699,0,angle,7669.99997016532,199115.277475184,0.0385203991749013,153077.215325648,4.4702969,0.27939355625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,9.37951553986754,0,angle,12099.9999414488,199115.277475184,0.0607688174151117,148934.593508532,7.98802,0.49925125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,9.49491795593055,0,angle,15129.9999185662,199115.277475184,0.0759861328091808,146027.408927373,6.6279565,0.41424728125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,8.86880357577128,0,angle,17419.9998938991,199115.277475184,0.0874870081029828,143849.775397656,7.992963,0.4995601875,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,1499.31354229454,10.5159628018635,151.66986306654,angle,20709.9998516237,199115.277475184,0.104010099647953,140685.420070972,7.3450626875,0.45906641796875,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,3.74221414502746,0,angle,25749.9997900393,199115.277475184,0.12932206969025,135926.195772285,8.73262366666667,0.545788979166667,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,23.7336564651229,0,angle,30579.9997452646,199115.277475184,0.153579374385654,131201.486659059,4.29834528571429,0.268646580357143,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,534.314241065082,29.3649964643935,154.620223553485,angle,32109.9997284819,199115.277475184,0.161263365300956,129698.910107238,5.41174214285714,0.338233883928571,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,514.391795608188,35.5837887722707,282.941708984877,angle,33459.9997205826,199115.277475184,0.168043357319746,128392.73787821,4.77903225,0.298689515625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,4.81168558399524,0,angle,35159.9997107841,199115.277475184,0.176581125047856,126709.934591557,5.29490133333333,0.330931333333333,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,425.756294670397,28.6141222960965,195.960521078352,angle,38349.9996921076,199115.277475184,0.192601995077386,123519.695323787,4.69653653846154,0.293533533653846,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,18.3187328251938,0,angle,42089.9996656381,199115.277475184,0.211385084054556,119797.982007792,5.584401,0.3490250625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,releasing,double,2412.99001072616,31.9678908975863,1387.12992419981,angle,46059.9996444211,199115.277475184,0.231323282816215,116019.630157946,4.4227598,0.2764224875,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,releasing,double,2713.66596283985,23.4184071812368,1050.81186739899,angle,54219.9995958095,199115.277475184,0.272304567903219,108087.090045304,4.57355683333333,0.285847302083333,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,5.23273273052475,0,angle,64989.9995319727,199115.277475184,0.326393837560116,97463.2620553521,NaN,NaN,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,631.845968775757,18.8481047996471,182.021977465341,angle,73939.9994930501,199115.277475184,0.371342673604065,88726.9795043731,6.61195357142857,0.413247098214286,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,4.3364438563332,0,angle,78619.9994622951,199115.277475184,0.394846645918938,84108.1061006713,7.506422875,0.4691514296875,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,2.51628568984618,0,angle,84119.9994238982,199115.277475184,0.422468835593905,78719.9510371989,8.21210258333333,0.513256411458333,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,33.647963056397,0,angle,86979.999405368,199115.277475184,0.4368323742321,75857.3796216254,4.75267385714286,0.297042116071429,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,2.05627887499466,0,angle,88029.9994005295,199115.277475184,0.442105701364381,74765.8764798292,3.075102,0.192193875,41N,450
